iter	RMSE
0	12525714.74
1	12229745.6
2	11767348.62
3	11348303.23
4	10939149.77
5	10528838.03
6	10282198.65
7	10032819.98
8	9798200.367
9	9455930.47
10	9233809.937
11	9001545.552
12	8798341.062
13	8599480.621
14	8395039.022
15	8205871.558
16	7946835.722
17	7763474.102
18	7586479.994
19	7410566.327
20	7159389.656
21	7002121.907
22	6849236.408
23	6702919.744
24	6561318.152
25	6423024.283
26	6284163.631
27	6152194.813
28	6024214.322
29	5843634.651
30	5724561.833
31	5607217.904
32	5446763.484
33	5325562.473
34	5218867.58
35	5115712.055
36	5020418.158
37	4925507.971
38	4814627.417
39	4726329.57
40	4639357.315
41	4552100.55
42	4469013.249
43	4339737.843
44	4263819.256
45	4187205.146
46	4114200.093
47	4053853.452
48	3988431.357
49	3924189.95
50	3861539.293
51	3795138.131
52	3736747.549
53	3627221.998
54	3574307.496
55	3495616.716
56	3444843.566
57	3395466.275
58	3347033.1
59	3281829.041
60	3236600.639
61	3193584.42
62	3096002.484
63	3000366.153
64	2947838.014
65	2867226.08
66	2811111.266
67	2773655.381
68	2724531.663
69	2692660.586
70	2661682.474
71	2616774.166
72	2572747.96
73	2543950.826
74	2470709.715
75	2445668.162
76	2411374.413
77	2388198.25
78	2364997.113
79	2343129.989
80	2321884.404
81	2254483.244
82	2234523.688
83	2215638.742
84	2182045.497
85	2152692.02
86	2135142.087
87	2118578.656
88	2089531.715
89	2074195.559
90	2059588.254
91	2045621.522
92	2032269.671
93	2019594.525
94	1996197.428
95	1945837.209
96	1934929.085
97	1924504.484
98	1877941.257
99	1857730.582
