iter	Passed	Remaining
0	0	43
1	1	53
2	1	55
3	2	55
4	2	55
5	3	55
6	4	54
7	4	53
8	5	52
9	5	53
10	6	54
11	7	53
12	7	53
13	8	52
14	9	51
15	9	49
16	9	47
17	10	47
18	11	46
19	11	46
20	12	45
21	12	45
22	13	44
23	14	44
24	14	43
25	15	42
26	15	42
27	16	41
28	16	40
29	16	39
30	17	38
31	18	38
32	18	37
33	18	36
34	19	36
35	20	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	24	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	23
56	29	22
57	30	21
58	30	21
59	31	21
60	32	20
61	32	19
62	33	19
63	33	18
64	34	18
65	34	17
66	35	17
67	35	16
68	36	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	40	11
78	41	11
79	42	10
80	42	9
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	49	4
92	50	3
93	50	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
